기관ID,구,주소
C1107912,영등포구,서울특별시 영등포구 영중로 60 1층 (영등포동5가 유니온빌딩(판도라 내부))
C1102124,구로구,서울특별시 구로구 구로동로42길 58 (구로동)
C1108001,중구,서울특별시 중구 서소문로 103 배재빌딩 511호 (서소문동)
C1102813,노원구,서울특별시 노원구 한글비석로 470  (상계동)
C1107949,은평구,서울특별시 은평구 진관3로 11 1층 (진관동 은평뉴타운 힐데스하임)
C1107661,노원구,서울특별시 노원구 동일로203가길 29 211 일부212호 (중계동 브라운스톤중계)
C1108353,강북구,서울특별시 강북구 도봉로 339 1층 (수유동)
C1108093,송파구,서울특별시 송파구 가락로 94 1층 103호 (석촌동)
C1100086,강남구,서울특별시 강남구 테헤란로78길 8 7층 일부(대치동 현빌딩)
C1100730,서초구,서울특별시 서초구 사임당로 130 101호 (서초동신동아아파트)
C1102121,중랑구,서울특별시 중랑구 면목로39길 8 한성빌딩 (면목동)
C1107010,성북구,서울특별시 성북구 동소문로 321 (길음동)
C1102839,강동구,서울특별시 강동구 진황도로 179 1층 (둔촌동)
C1102524,종로구,서울특별시 종로구 종로 19
C1108747,서대문구,서울특별시 서대문구 성산로 515 석란 1층 (대신동)
C1104565,영등포구,서울특별시 영등포구 양평로 24 (당산동6가)
C1108718,중구,서울특별시 중구 서소문로 116 유원빌딩 1304호 (서소문동)
C1108671,서초구,서울특별시 서초구 서초중앙로 125 로이어즈타워 8층 803호 (서초동)
C1107447,종로구,서울특별시 종로구 송월길 99 201동 1층 2146호 (홍파동 경희궁자이 2단지)
C1102944,마포구,서울특별시 마포구 월드컵북로 361  (상암동)
C1104803,강남구,서울특별시 강남구 일원로 95
C1104799,강남구,서울특별시 강남구 일원로 53 (일원동)
C1103262,강북구,서울특별시 강북구 솔샘로 184 에스케이북한산시티 112~113호 (미아동)
C1103889,강서구,서울특별시 강서구 화곡로61길 26 (등촌동)
C1104869,구로구,서울특별시 구로구 디지털로 227 (가리봉동)
C1104800,성북구,서울특별시 성북구 동소문로 34 1층
C1107943,마포구,서울특별시 마포구 월드컵로3길 14 220호 (합정동)
C1104353,노원구,서울특별시 노원구 동일로 1059 (공릉동)
C1107991,노원구,서울특별시 노원구 덕릉로 662  (중계동 주공3단지아파트)
C1104559,송파구,서울특별시 송파구 토성로 16 (풍납동)
C1107902,강동구,서울특별시 강동구 동남로 891 현대델리안오피스텔 102호 (명일동)
C1108593,강동구,서울특별시 강동구 양재대로 1576 삼익빌딩 1층 (명일동)
C1108571,송파구,서울특별시 송파구 토성로 18 1층 지층 (풍납동)
C1108766,서대문구,서울특별시 서대문구 연세로 40 1~4층 (창천동)
C1109050,은평구,서울특별시 은평구 통일로 738 1층 3호 (불광동)
C1104769,동대문구,서울특별시 동대문구 천호대로 313 10호 11호 (답십리동 태영빌딩)
C1107045,서대문구,서울특별시 서대문구 모래내로 364 (홍은동)
C1102125,강서구,서울특별시 강서구 공항대로 426  (화곡동)
C1108705,영등포구,서울특별시 영등포구 당산로 34 로데오 ？ 쇼핑몰 1층 (문래동3가)
C1107473,관악구,서울특별시 관악구 양녕로 46 112호 (봉천동 메카플러스)
C1106984,성북구,서울특별시 성북구 보문로 44 (보문동7가)
C1102849,양천구,서울특별시 양천구 목동서로 349 센트럴프라자 106호 (신정동)
C1108971,용산구,서울특별시 용산구 대사관로31길 7-10 1층 (한남동)
C1108332,은평구,서울특별시 은평구 통일로 1031 1층 101호 (진관동)
C1103201,송파구,서울특별시 송파구 강동대로 74 잠실올림픽아이파크상가 1층 108호 지층 B103호 (풍납동)
C1108400,강서구,서울특별시 강서구 마곡중앙4로 74 106~107호 (마곡동)
C1108270,강서구,서울특별시 강서구 공항대로36길 9 1층 (내발산동)
C1107746,성북구,서울특별시 성북구 고려대로13길 8 1층 (안암동2가)
C1108936,강북구,서울특별시 강북구 한천로132길 28 (번동)
C1102128,중랑구,서울특별시 중랑구 봉우재로 39 (면목동)
C1104479,은평구,서울특별시 은평구 서오릉로 46
C1107837,송파구,서울특별시 송파구 충민로 52 가든파이브웍스 S동 307호 (문정동)
C1103692,송파구,서울특별시 송파구 충민로 66  (문정동)
C1108322,금천구,서울특별시 금천구 가산디지털1로 171 가산 에스케이 브이원 센터 1층 117호 (가산동)
C1102133,송파구,서울특별시 송파구 송파대로 286 신흥빌딩 (가락동)
C1100151,송파구,서울특별시 송파구 동남로 207 (가락동)
C1108810,금천구,서울특별시 금천구 가산디지털1로 5 대륭테크노타운 20차 107호 (가산동)
C1102134,양천구,서울특별시 양천구 공항대로 564 1층 5호 (목동)
C1108357,은평구,서울특별시 은평구 통일로 1030 은평헤스티아 12층 101 201호호 (진관동)
C1106934,강남구,서울특별시 강남구 압구정로 108 (신사동) 1층 7호
C1108554,금천구,서울특별시 금천구 디지털로9길 68 대륭포스트타워 5차 1층 106호 (가산동)
C1104205,금천구,서울특별시 금천구 가산로 116 (가산동)
C1104582,도봉구,서울특별시 도봉구 노해로65길 17-9 102103호 (창동삼원프라자)
C1108835,강서구,서울특별시 강서구 허준로 198 가양프라자 1층 104 105호 (가양동)
C1102136,강서구,서울특별시 강서구 양천로57길 13
C1103478,강서구,서울특별시 강서구 양천로 460
C1108049,강남구,서울특별시 강남구 학동로 413 청담빌딩 2층 (청담동)
C1108125,서초구,서울특별시 서초구 강남대로 465 교보타워 B동 지상1층 (서초동)
C1102190,관악구,서울특별시 관악구 봉천로 486
C1108645,송파구,서울특별시 송파구 강동대로 74 1층 103호 (풍납동)
C1100506,송파구,서울특별시 송파구 강동대로 74 상가동 104105106107204호 (풍납동)
C1108552,강서구,서울특별시 강서구 공항대로 248 111~113 206호 (마곡동)
C1104678,용산구,서울특별시 용산구 대사관로 52  (한남동)
C1102138,송파구,서울특별시 송파구 강동대로 67 1층 (풍납동)
C1101559,송파구,서울특별시 송파구 강동대로 74 108동 101102지하102호 (풍납동)
C1102141,용산구,서울특별시 용산구 청파로 333 (청파동1가)
C1102140,양천구,서울특별시 양천구 목동중앙본로 128-2 1층 (목동)
C1108876,성북구,서울특별시 성북구 오패산로3길 158 1층 (하월곡동)
C1107566,동작구,서울특별시 동작구 등용로 115 101호 (대방동 엘리시아빌딩)
C1103520,강북구,서울특별시 강북구 오패산로52길 39 (미아동)
C1107449,서대문구,서울특별시 서대문구 모래내로 137 1층 (남가좌동)
C1108317,은평구,서울특별시 은평구 통일로 1031 1층 102호 (진관동)
C1103202,송파구,서울특별시 송파구 문정로13길 11-10 (가락동)
C1102142,강남구,서울특별시 강남구 압구정로 336  (신사동)
C1102143,송파구,서울특별시 송파구 백제고분로41길 11  (송파동)
C1100071,동대문구,서울특별시 동대문구 한천로 242 1층 (전농동)
C1102148,강서구,서울특별시 강서구 강서로 38
C1109043,강남구,서울특별시 강남구 학동로 지하 346 강남구청역 B1층 111호 (삼성동)
C1107162,강남구,서울특별시 강남구 남부순환로 2615 (도곡동) 극동스타클래스208호
C1108644,강남구,서울특별시 강남구 헌릉로 569 1층 105호 (세곡동)
C1107806,강남구,서울특별시 강남구 강남대로 292 3층 (도곡동 뱅뱅빌딩)
C1107642,서초구,서울특별시 서초구 방배로 174 1층 (방배동 태창빌딩)
C1103021,강남구,서울특별시 강남구 삼성로 233  (대치동)
C1107703,강남구,서울특별시 강남구 논현로86길 22 1층 (역삼동)
C1108405,강남구,서울특별시 강남구 강남대로 376 1층 1호 (역삼동)
C1101932,강남구,서울특별시 강남구 도곡로 448  (대치동)
C1104900,강남구,서울특별시 강남구 도곡로 516  (대치동)
C1107954,강남구,서울특별시 강남구 역삼로 118 1층 (역삼동)
C1103022,서초구,서울특별시 서초구 효령로 12 1층 (방배동)
C1101933,강남구,서울특별시 강남구 도곡로 523 1층 (대치동)
C1107514,강남구,서울특별시 강남구 언주로 309 1층 (역삼동)
C1103826,강남구,서울특별시 강남구 논현로 52 남현빌딩 1층 (개포동)
C1101934,강남구,서울특별시 강남구 봉은사로114길 42 (삼성동)
C1101935,강동구,서울특별시 강동구 양재대로 1355
C1104119,서초구,서울특별시 서초구 강남대로 463 102호 (서초동리젠타워)
C1107458,금천구,서울특별시 금천구 남부순환로 1372 (독산동 현경빌딩)
C1109069,서초구,서울특별시 서초구 서초대로77길 9 강남 누드죤빌딩 104호 (서초동)
C1108170,강남구,서울특별시 강남구 테헤란로4길 6 지하1층 b106호 (역삼동)
C1108450,강남구,서울특별시 강남구 선릉로 406 102호 (대치동)
C1104835,강남구,서울특별시 강남구 테헤란로 403
C1103947,강남구,서울특별시 강남구 강남대로 432 점프밀라노 지하1층 101호 (역삼동)
C1108262,강남구,서울특별시 강남구 언주로 639 1층 (논현동)
C1101938,강남구,서울특별시 강남구 테헤란로 139
C1103935,강남구,서울특별시 강남구 남부순환로 2633
C1109110,강남구,서울특별시 강남구 강남대로94길 27 1층 105호 (역삼동)
C1104714,서대문구,서울특별시 서대문구 거북골로 120
C1108598,강동구,서울특별시 강동구 구천면로 662 1층 (상일동)
C1101939,강남구,서울특별시 강남구 도산대로 104 (논현동 1st Avenue)
C1103508,강남구,서울특별시 강남구 학동로 323 (논현동 한미빌딩)
C1103023,강남구,서울특별시 강남구 학동로 342
C1108720,강동구,서울특별시 강동구 양재대로 1465 마루홈타운 107호 (길동)
C1101883,강동구,서울특별시 강동구 올림픽로 686
C1101884,강동구,서울특별시 강동구 올림픽로 782
C1101885,강동구,서울특별시 강동구 성내로 40  (성내동)
C1108330,강동구,서울특별시 강동구 동남로73길 13 1층 (명일동)
C1109073,강동구,서울특별시 강동구 진황도로 81 강동투웨니퍼스트 1층 101호 (길동)
C1107888,강동구,서울특별시 강동구 천호대로 1111 1층 (길동 정우빌딩)
C1108640,강동구,서울특별시 강동구 양재대로 1473 희헌타워 1층 (길동)
C1108694,강동구,서울특별시 강동구 천호대로 1195 지앤지타워 1층 101호 (길동)
C1101886,강동구,서울특별시 강동구 천호대로173길 12
C1108786,강동구,서울특별시 강동구 천호대로 1124 1층 (성내동)
C1103357,강동구,서울특별시 강동구 양재대로 1343 (성내동)
C1107508,강동구,서울특별시 강동구 진황도로 74 (천호동)
C1103014,강동구,서울특별시 강동구 올림픽로 624
C1102804,강동구,서울특별시 강동구 올림픽로 778
C1102825,강동구,서울특별시 강동구 양재대로 1589
C1104363,동작구,서울특별시 동작구 시흥대로 668-2 (신대방동)
C1101896,광진구,서울특별시 광진구 광나루로56길 63 (구의동) 프라임프라자상가 1층
C1103266,강북구,서울특별시 강북구 도봉로 79 (미아동)
C1101898,강북구,서울특별시 강북구 도봉로 190 (미아동)
C1104652,동대문구,서울특별시 동대문구 전농로 110 1층 (답십리동)
C1108406,강북구,서울특별시 강북구 한천로 1081 1층 (수유동)
C1103420,강북구,서울특별시 강북구 도봉로37길 7 1층 (미아동)
C1108968,강동구,서울특별시 강동구 아리수로93나길 26 성산타워 109110호 (강일동)
C1109027,강서구,서울특별시 강서구 까치산로4길 3 1층 (화곡동)
C1108288,강서구,서울특별시 강서구 공항대로67길 29-26 시우 1층 (염창동)
C1101899,강서구,서울특별시 강서구 등촌로 75 지덕빌딩 (등촌동)
C1104295,강서구,서울특별시 강서구 화곡로 346 103호 (화곡동귀뚜라미홈시스텔)
C1104054,강서구,서울특별시 강서구 양천로 401 109-2호 (가양동 강서한강자이타워A동)
C1101989,강서구,서울특별시 강서구 강서로 257
C1101990,강서구,서울특별시 강서구 화곡로 398 홈플러스강서점앤본사사옥 1층 (등촌동)
